month,activity_index
2017-01-01,98.8
2017-02-01,101.91
2017-03-01,104.81
2017-04-01,106.37
2017-05-01,107.71
2017-06-01,106.36
2017-07-01,106.5
2017-08-01,105.1
2017-09-01,110.03
2017-10-01,108.34
2017-11-01,106.14
2017-12-01,109.79
2018-01-01,111.4
2018-02-01,113.53
2018-03-01,115.87
2018-04-01,113.19
2018-05-01,113.79
2018-06-01,111.85
2018-07-01,109.05
2018-08-01,109.46
2018-09-01,110.23
2018-10-01,110.25
2018-11-01,109.45
2018-12-01,110.88
2019-01-01,113.32
2019-02-01,110.82
2019-03-01,111.46
2019-04-01,110.94
2019-05-01,111.1
2019-06-01,106.53
2019-07-01,108.77
2019-08-01,109.16
2019-09-01,109.7
2019-10-01,112.83
2019-11-01,115.22
2019-12-01,116.35
2020-01-01,94.7
2020-02-01,98.38
2020-03-01,103.29
2020-04-01,100.67
2020-05-01,102.72
2020-06-01,103.23
2020-07-01,105.27
2020-08-01,109.01
2020-09-01,110.63
2020-10-01,116.73
2020-11-01,120.34
2020-12-01,120.43
2021-01-01,120.9
2021-02-01,124.43
2021-03-01,122.37
2021-04-01,123.46
2021-05-01,124.49
2021-06-01,127.21
2021-07-01,126.04
2021-08-01,130.96
2021-09-01,130.51
2021-10-01,135.33
2021-11-01,131.15
2021-12-01,135.14
2022-01-01,131.95
2022-02-01,130.75
2022-03-01,128.6
2022-04-01,126.0
2022-05-01,130.62
2022-06-01,130.27
2022-07-01,131.91
2022-08-01,129.75
2022-09-01,132.46
2022-10-01,131.29
2022-11-01,132.74
2022-12-01,133.55
2023-01-01,128.07
2023-02-01,129.43
2023-03-01,130.37
2023-04-01,131.91
2023-05-01,134.82
2023-06-01,136.3
2023-07-01,137.74
2023-08-01,139.54
2023-09-01,141.56
2023-10-01,141.32
2023-11-01,144.52
2023-12-01,142.85
2024-01-01,144.57
2024-02-01,144.13
2024-03-01,146.33
2024-04-01,149.39
2024-05-01,151.9
2024-06-01,154.92
2024-07-01,155.84
2024-08-01,157.59
2024-09-01,158.29
2024-10-01,155.68
2024-11-01,155.3
2024-12-01,157.15
2025-01-01,158.46
2025-02-01,155.44
2025-03-01,156.78
2025-04-01,159.92
2025-05-01,159.81
2025-06-01,160.78
2025-07-01,160.72
2025-08-01,161.68
2025-09-01,157.95
2025-10-01,157.33
2025-11-01,157.37
2025-12-01,154.16
